Pais;Entidad estatal;Referencia;Descripción;Fase actual;Fecha de publicación;Fecha de presentación de ofertas;Cuantía Estado;Detalle
COLOMBIA;ALCALDIA DE FLORIDABLANCA;FLO-CONT-CD-1300-2024;PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA EL FORTALECIMIENTO Y SEGUIMIENTO AL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) EN LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE FLORIDABLANCA;Presentación de oferta;30/08/2024 7:44 PM (UTC -5 horas);-;7.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;CAJA DE LA VIVIENDA POPULAR//;CVP-834-2024;JULIAN ALEJANDRO MENDEZ PAEZ;Presentación de oferta;30/08/2024 5:27 PM (UTC -5 horas);-;9.600.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;EMPRESA DE SERVICIOS PUBLICOS DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE MOGOTES;032-2024;ALVARO PAEZ TORRES;Presentación de oferta;30/08/2024 3:57 PM (UTC -5 horas);-;740.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE PAJARITO;MP-CV-010-2024;CONVENIO DE ASOCIACIÓN PAE;Presentación de oferta;29/08/2024 11:11 PM (UTC -5 horas);2/09/2024 10:00 AM (UTC -5 horas);146.871.318 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Gobernación Norte de Santander*;LP-SEG-01933-2024;PAE RACIÓN IV 2024;Presentación de observaciones;29/08/2024 5:27 PM (UTC -5 horas);23/09/2024 10:00 AM (UTC -5 horas);11.171.593.860 COP;Publicado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE SAN JOSE DE LA MONTAÑA;MIN-26-2024;INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE SAN JOSÉ DE LA MONTAÑA - ANTIOQUIA, PARA;Presentación de oferta;29/08/2024 5:10 PM (UTC -5 horas);3/09/2024 11:00 AM (UTC -5 horas);33.128.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE ARMENIA;SAMC-002-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);SUMINISTRO DE VÍVERES EN RACIONES PREPARADAS EN SITIO PROPIO Y TRANSPORTE PARA LA EJECUCION DEL PROGRAMA DE ALIMENTACION ESCOLAR- PAE (Manifestación de interés (Menor Cuantía)) (Presentación de ofert;Presentación de oferta;29/08/2024 4:55 PM (UTC -5 horas);30/08/2024 10:30 AM (UTC -5 horas);75.021.424 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO ESE;CPS 1755-2024;ORTEGON PAEZ DAVID ALEJANDRO;Presentación de oferta;29/08/2024 3:26 PM (UTC -5 horas);-;5.848.960 COP;Publicado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA MUNICIPAL SANTA TERESITA;R.E N° 2024-004;CONTRATO DE SUMINISTROS DE ELEMENTOS DE COCINA PARA EL RESTAURANTE ESCOLAR-PROYECTO IMPLEMENTACIÓN PAE (RESOLUCIÓN N° 1897 DE 2023);Presentación de oferta;29/08/2024 1:49 PM (UTC -5 horas);-;7.381.298 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE CHITARAQUE;SAMC-007-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LA INSTITUCION EDUCATIVA SAN PEDRO CLAVER PARA GARANTIZAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL MUNICIPIO DE CHITARAQUE BOYACA, EN CUMPLI;Presentación de oferta;29/08/2024 1:33 PM (UTC -5 horas);2/09/2024 9:00 AM (UTC -5 horas);291.688.041,55 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;E.S.E HOSPITAL UNIVERSITARIO SAN JORGE DE PEREIRA;CONTRATO 535-2024;ADRIANA MILENA PAEZ RODRIGUEZ;Presentación de oferta;29/08/2024 10:54 AM (UTC -5 horas);-;58.866.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE NEIVA;MNSECDPS1102-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES DE UNA NUTRICIONISTA PARA APOYAR A LA SECRETARÍA DE EDUCACIÓN MUNICIPAL EN EL SEGUIMIENTO Y CONTROL AL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE QUE SE DESARROLLA EN L;Presentación de oferta;29/08/2024 8:45 AM (UTC -5 horas);-;20.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA DE FLORIDABLANCA;FLO-CONT-CD-1246-2024;PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA EL FORTALECIMIENTO Y VIGILANCIA DEL PROGRAMA DE ALIMENTACION ESCOLAR (PAE) EN LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE FLORIDABLANCA;Presentación de oferta;28/08/2024 7:50 PM (UTC -5 horas);-;10.800.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE GACHANTIVÁ;MG-SAM-2024-007 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS EN LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE GACHANTIVA PARA GAR;Presentación de oferta;28/08/2024 5:49 PM (UTC -5 horas);29/08/2024 9:00 AM (UTC -5 horas);180.354.768,64 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE PAIPA;ESAL MP 010 2024;AUNAR ESFUERZOS TECNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA GARANTIZAR LA CONTINUIDAD DEL PROGRAMA DE ALIMENTACIÒN ESCOLAR - PAE, EN EL MUNICIPIO DE PAIPA DURANTE EL SEGUNDO SEMESTRE DEL 2024;Presentación de oferta;28/08/2024 5:23 PM (UTC -5 horas);30/08/2024 5:30 PM (UTC -5 horas);1.238.818.930,25 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE NEIVA;MNSECDPS1103-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN INGENIERO DE ALIMENTOS PARA APOYAR A LA SECRETARIA DE EDUCACIÓN MUNICIPAL EN EL SEGUIMIENTO Y CONTROL DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR "PAE" QUE SE DESA;Presentación de oferta;28/08/2024 4:53 PM (UTC -5 horas);-;18.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SECRETARIA DISTRITAL DE AMBIENTE;SDA-CPS-20242083;JENNIFER ANDREA ROMERO PAEZ;Presentación de oferta;28/08/2024 4:26 PM (UTC -5 horas);-;34.444.200 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;E.S.E HOSPITAL LOCAL DE TENERIFE;CPS-469-2024;INES MILENA PAEZ BLANCO;Presentación de oferta;28/08/2024 3:41 PM (UTC -5 horas);-;1.500.000 COP;Publicado;Detalle
COLOMBIA;IDARTES;2720-2024;LUIS CARLOS LEON PAEZ;Presentación de oferta;28/08/2024 2:11 PM (UTC -5 horas);-;5.996.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA DE PASTO;LP-2024-6 (Presentación de oferta);PRESTAR EL SERVICIO DE OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR PAE (Presentación de oferta);Presentación de oferta;28/08/2024 11:49 AM (UTC -5 horas);5/09/2024 8:00 AM (UTC -5 horas);4.604.711.895 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;COLJUEGOS;20242000150600199E;DAVID RICARDO RODRIGUEZ PAEZ;Presentación de oferta;28/08/2024 9:44 AM (UTC -5 horas);-;36.304.805 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-CM-002-2024 (Presentación de oferta);INTERVENTORIA PAE (Presentación de oferta);Presentación de oferta;28/08/2024 8:34 AM (UTC -5 horas);30/08/2024 4:30 PM (UTC -5 horas);1.432.628.266 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-CM-003-2024 (Presentación de oferta);INTERVENTORIA PAE INDIGENA (Presentación de oferta);Presentación de oferta;28/08/2024 8:34 AM (UTC -5 horas);2/09/2024 5:00 PM (UTC -5 horas);300.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;DEPARTAMENTO DE CORDOBA;SE-LP-001-2024 (Presentación de oferta);IMPLEMENTACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR -PAE- EN EL DEPARTAMENTO DE CÓRDOBA (VIGENCIA 2024 SGR - SISTEMA GENERAL DE REGALIAS) (Presentación de oferta);Presentación de oferta;27/08/2024 7:02 PM (UTC -5 horas);6/09/2024 8:00 AM (UTC -5 horas);26.403.092.591,4 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;MUNICIPIO DE DUITAMA;CMI-2024063;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA REALIZAR ACTIVIDADES DE ACOMPAÑAMIENTO, MONITOREO Y SUPERVISIÓN DE CAMPO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE DESARROLLADO EN LAS INSTITUCIONES EDUCATIVA;Presentación de oferta;27/08/2024 5:46 PM (UTC -5 horas);30/08/2024 10:00 AM (UTC -5 horas);56.500.000 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;EMPRESA DE DESARROLLO URBANO Y RURAL TAMESIS;EDUR-PS-055;PRESTACION DE SERIVICIOS PARA LA OPERACIÓN DEL PROGRAMA DE ALIMENTACION ESCOLAR PAE, PARA NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRICULA OFICIAL DEL MUNICIPIO DE TARSO PARA LA VIGENCIA 2024 2;Presentación de oferta;27/08/2024 4:35 PM (UTC -5 horas);-;275.186.930 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MINCULTURA;MC-CC-3462-2024;CORPORACIÓN COMUNITARIA INDÍGENA CARLOS PAEZ. COINCAP;Presentación de oferta;27/08/2024 11:56 AM (UTC -5 horas);-;26.340.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE PEREIRA- OFICIAL;SME-CD-4850-2024;PAE;Presentación de oferta;27/08/2024 11:26 AM (UTC -5 horas);-;14.400.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE SATIVANORTE;MSN ESAL 010 DE 2024;PAE SEGUNDO SEMESTRE;Presentación de oferta;27/08/2024 8:00 AM (UTC -5 horas);29/08/2024 6:00 PM (UTC -5 horas);80.577.055,9 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Gobernación Norte de Santander*;CD-SAPSB-01910-2024 - FREDDY JOSE PAEZ SARMIENTO;FREDDY JOSE PAEZ SARMIENTO;Presentación de oferta;27/08/2024 7:24 AM (UTC -5 horas);-;20.833.333 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE VILLA DEL ROSARIO**;CDCDF-544 DE 2024;EDWIN JAVIER PAEZ PORRAS;Presentación de oferta;26/08/2024 8:23 PM (UTC -5 horas);-;10.800.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE VILLA DEL ROSARIO**;CDCDF-543 DE 2024;ANDREA DEL PILAR PORTILLA PAEZ;Presentación de oferta;26/08/2024 8:07 PM (UTC -5 horas);-;11.200.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-2047-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA APOYAR EL CUMPLIMIENTO DEL EJE DE COBERTURA DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO;Presentación de oferta;26/08/2024 6:43 PM (UTC -5 horas);-;10.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-1989-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES ESPECIALIZADOS PARA APOYAR EL CUMPLIMIENTO DEL EJE DE FINANCIACIÓN PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO, ACOR;Presentación de oferta;26/08/2024 5:16 PM (UTC -5 horas);-;12.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-2035-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA APOYAR EL CUMPLIMIENTO DEL EJE DE CALIDAD E INOCUIDAD DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO,;Presentación de oferta;26/08/2024 5:04 PM (UTC -5 horas);-;10.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-2032-2024-;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA APOYAR EL CUMPLIMIENTO DEL EJE DE CALIDAD E INOCUIDAD DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO, ACORDE A;Presentación de oferta;26/08/2024 3:29 PM (UTC -5 horas);-;10.800.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-1996-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL CUMPLIMIENTO DEL EJE DE CALIDAD E INOCUIDAD DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO;Presentación de oferta;26/08/2024 3:08 PM (UTC -5 horas);-;11.100.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE TENJO;CD-PS-PSP-359-2024;PRESTACION DE SERVICIOS PROFESIONALES EN NUTRICIÓN PARA LA COORDINACION DE LOS PROCESOS Y LINEAMIENTOS TECNICOS ESTABLECIDOS POR EL GOBIERNO NACIONAL Y DEPARTAMENTAL DE ALIMENTACION ESCOLAR PAE EN EL;Presentación de oferta;26/08/2024 2:22 PM (UTC -5 horas);-;16.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;CAJA DE LA VIVIENDA POPULAR//;CVP-810-2024;JOSE ALEXANDER MORENO PAEZ;Presentación de oferta;26/08/2024 10:07 AM (UTC -5 horas);-;27.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;CONTRALORIA DE BOGOTA;CB-CD-529-2024;LUZ ANGELA PAEZ TAPIERO;Presentación de oferta;26/08/2024 9:55 AM (UTC -5 horas);-;10.500.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE CIENEGA;MCI-RE-ESAL-06-2024;PAE II SEMESTRE 2024;Presentación de oferta;23/08/2024 9:41 PM (UTC -5 horas);23/08/2024 10:30 PM (UTC -5 horas);320.255.313,04 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE LA CALERA CUNDINAMARCA;CPS-253-2024;PRESTAR LOS SERVICIOS DE APOYO A LA GESTION EN EL SEGUIMIENTO MONITOREO Y CONTROL DEL PROGRAMA DE ALIMENTACION ESCOLAR PAE;Presentación de oferta;23/08/2024 5:13 PM (UTC -5 horas);-;7.107.345 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1142-2024;PROFESIONAL EJE ADMINISTRATIVO PAE;Presentación de oferta;23/08/2024 3:59 PM (UTC -5 horas);-;14.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1143-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 3:27 PM (UTC -5 horas);-;7.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPIO DE TITIRIBI++;SASI 001 DE 2024 (Presentación de oferta);Suministro de víveres para atender el programa de alimentación escolar PAE en sus 2 modalidades complemento alimentario tipo almuerzo y tipo am/pm a los estudiantes de la matricula oficial del mun (Pr;Presentación de oferta;23/08/2024 3:09 PM (UTC -5 horas);5/09/2024 4:00 PM (UTC -5 horas);160.678.602 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1144-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;23/08/2024 3:01 PM (UTC -5 horas);-;8.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1146-2024;PROFESIONAL EJE FINANCIERO PAE;Presentación de oferta;23/08/2024 2:54 PM (UTC -5 horas);-;8.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1147-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 2:42 PM (UTC -5 horas);-;6.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1149-2024;PROFESIONAL EJE ADMINISTRATIVO PAE;Presentación de oferta;23/08/2024 2:32 PM (UTC -5 horas);-;12.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SECRETARÍA DISTRITAL DE MOVILIDAD;SDM-CPS-2960-2024;JORGE EDUARDO PAEZ DIAZ;Presentación de oferta;23/08/2024 12:08 PM (UTC -5 horas);-;21.350.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA CIUDADELA CUBA;OS 10-2024;SERVICIO DE MANTENIMIENTO NEVERA PAE-NARANJITO;Presentación de oferta;23/08/2024 10:37 AM (UTC -5 horas);-;125.000 COP;Publicado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1109-2024;PROFESIONAL PAE;Presentación de oferta;23/08/2024 10:03 AM (UTC -5 horas);-;25.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA RURAL LUIS ANTONIO DUQUE PEÑA;IERLADP 017-2024;MANT. Y ADECUACIÓN DE PISOS, INSTALACION DE BALDOSA EN PASILLOS Y ADECUACION DE LA COCINA DEL PAE DE PRIMARIA;Presentación de oferta;23/08/2024 9:54 AM (UTC -5 horas);-;7.015.656 COP;Publicado;Detalle
COLOMBIA;SECRETARIA DISTRITAL DEL HABITAT;V1-5-SIGA-1016873;GLORIA STELLA PAEZ MURCIA;Presentación de oferta;23/08/2024 9:21 AM (UTC -5 horas);-;39.666.667 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL BOYACA;SB-CD-020-2024;Aunar esfuerzos entre el Instituto Colombiano Agropecuario - ICA y el municipio de Paez, departamento de Boyacá, para realizar la expedición de Guías Sanitarias de Movilización Interna - GSMI, Expedic;Presentación de oferta;23/08/2024 7:54 AM (UTC -5 horas);23/08/2024 5:00 PM (UTC -5 horas);200.648.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1122-2024;TECNICO EJE ADMINISTRATIVO PAE;Presentación de oferta;23/08/2024 4:56 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1141-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 4:44 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1137-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 4:20 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1136-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 4:08 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1134-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 3:53 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1132-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 3:37 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1129-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 3:23 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1130-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 2:58 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1114-2024;TECNICO EJE ADMINISTRATIVO PAE;Presentación de oferta;23/08/2024 2:46 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1113-2024;TECNICO EJE ADMINISTRATIVO PAE;Presentación de oferta;23/08/2024 2:35 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1128-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 2:23 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1127-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 2:07 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1125-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 1:50 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1124-2024;TECNICO MONITOREO Y CONTROL PAE;Presentación de oferta;23/08/2024 1:32 AM (UTC -5 horas);-;15.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1140-2024;PROFESIONAL EJE DE PARTICIPACION CIUDADANIA PAE;Presentación de oferta;23/08/2024 1:17 AM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1139-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;23/08/2024 1:02 AM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1138-2024;PROFESIONAL EJE DE PARTICIPACION CIUDADANA PAE;Presentación de oferta;23/08/2024 12:42 AM (UTC -5 horas);-;28.350.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1121-2024;PROFESIONAL EJE FINANCIERO PAE;Presentación de oferta;23/08/2024 12:23 AM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1135-2024;PROESIONAL EJE DE CALIDAD E INOCUIDAD PAE;Presentación de oferta;23/08/2024 12:06 AM (UTC -5 horas);-;28.350.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1120-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;22/08/2024 11:50 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1119-2024;PROFESIONAL EJE DE PARTICIPACION CIUDADANA PAE;Presentación de oferta;22/08/2024 11:37 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1118-2024;PROFESIONAL EJE DE CALIDAD E INOCUIDAD PAE;Presentación de oferta;22/08/2024 11:16 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1133-2024;PROFESIONAL EJE ADMINISTRATIVO PAE;Presentación de oferta;22/08/2024 11:03 PM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1131-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;22/08/2024 10:47 PM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1117-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;22/08/2024 10:29 PM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1116-2024;PROFESIONAL EJE ADMINISTRATIVO PAE;Presentación de oferta;22/08/2024 10:02 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
